t=0
	GUI Player
		0
		0
		Vaasa
		Vaasa
	Greedy Player
		0
		0
		Bergen
		Bergen
	Random Player
		0
		0
		Kirkenes
		Kirkenes
	Smart Player
		0
		0
		Luleå
		Luleå
	cities
		Aalborg	80
		Aarhus	250
		Copenhagen	100
		Esbjerg	125
		Herning	65
		Nykøbing	50
		Odense	70
		Struer	100
		Helsinki	210
		Kermi	40
		Kokkola	85
		Kuopio	50
		Oulu	70
		Pohjanmaa	100
		Pori	30
		Rovaniemi	30
		Tampere	120
		Turku	70
		Vaasa	50
		Bergen	175
		Bodø	40
		Dombås	110
		Kirkenes	200
		Kristiansand	50
		Lillehammer	110
		Myrdal	70
		Narvik	150
		Oslo	125
		Stavanger	200
		Tromsø	180
		Trondheim	140
		Åndalsnes	150
		Falun	70
		Gällivare	100
		Gävle	90
		Göteborg	90
		Helsingborg	100
		Jönköping	110
		Kalmar	90
		Karlskrona	75
		Karlstad	85
		Kiruna	80
		Kvillsfors	100
		Linköping	80
		Luleå	95
		Malmö	95
		Mora	50
		Stockholm	190
		Strömstad	120
		Sundsvall	120
		Torsby	40
		Umeå	75
		Uppsala	60
		Visby	90
		Örebro	130
		Östersund	50
t=1
	GUI Player
		0
		0
		Vaasa
		Vaasa
	Greedy Player
		0
		2
		Bergen
		Myrdal
	Random Player
		0
		4
		Kirkenes
		Tromsø
	Smart Player
		0
		3
		Luleå
		Umeå
	cities
		Aalborg	80
		Aarhus	250
		Copenhagen	100
		Esbjerg	125
		Herning	65
		Nykøbing	50
		Odense	70
		Struer	100
		Helsinki	210
		Kermi	40
		Kokkola	85
		Kuopio	50
		Oulu	70
		Pohjanmaa	100
		Pori	30
		Rovaniemi	30
		Tampere	120
		Turku	70
		Vaasa	50
		Bergen	175
		Bodø	40
		Dombås	110
		Kirkenes	200
		Kristiansand	50
		Lillehammer	110
		Myrdal	70
		Narvik	150
		Oslo	125
		Stavanger	200
		Tromsø	180
		Trondheim	140
		Åndalsnes	150
		Falun	70
		Gällivare	100
		Gävle	90
		Göteborg	90
		Helsingborg	100
		Jönköping	110
		Kalmar	90
		Karlskrona	75
		Karlstad	85
		Kiruna	80
		Kvillsfors	100
		Linköping	80
		Luleå	95
		Malmö	95
		Mora	50
		Stockholm	190
		Strömstad	120
		Sundsvall	120
		Torsby	40
		Umeå	75
		Uppsala	60
		Visby	90
		Örebro	130
		Östersund	50
t=2
	GUI Player
		0
		0
		Vaasa
		Vaasa
	Greedy Player
		0
		1
		Bergen
		Myrdal
	Random Player
		0
		3
		Kirkenes
		Tromsø
	Smart Player
		0
		2
		Luleå
		Umeå
	cities
		Aalborg	80
		Aarhus	250
		Copenhagen	100
		Esbjerg	125
		Herning	65
		Nykøbing	50
		Odense	70
		Struer	100
		Helsinki	210
		Kermi	40
		Kokkola	85
		Kuopio	50
		Oulu	70
		Pohjanmaa	100
		Pori	30
		Rovaniemi	30
		Tampere	120
		Turku	70
		Vaasa	50
		Bergen	175
		Bodø	40
		Dombås	110
		Kirkenes	200
		Kristiansand	50
		Lillehammer	110
		Myrdal	70
		Narvik	150
		Oslo	125
		Stavanger	200
		Tromsø	180
		Trondheim	140
		Åndalsnes	150
		Falun	70
		Gällivare	100
		Gävle	90
		Göteborg	90
		Helsingborg	100
		Jönköping	110
		Kalmar	90
		Karlskrona	75
		Karlstad	85
		Kiruna	80
		Kvillsfors	100
		Linköping	80
		Luleå	95
		Malmö	95
		Mora	50
		Stockholm	190
		Strömstad	120
		Sundsvall	120
		Torsby	40
		Umeå	75
		Uppsala	60
		Visby	90
		Örebro	130
		Östersund	50
t=3
	GUI Player
		0
		0
		Vaasa
		Vaasa
	Greedy Player
		54
		2
		Myrdal
		Bergen
	Random Player
		0
		2
		Kirkenes
		Tromsø
	Smart Player
		0
		1
		Luleå
		Umeå
	cities
		Aalborg	80
		Aarhus	250
		Copenhagen	100
		Esbjerg	125
		Herning	65
		Nykøbing	50
		Odense	70
		Struer	100
		Helsinki	210
		Kermi	40
		Kokkola	85
		Kuopio	50
		Oulu	70
		Pohjanmaa	100
		Pori	30
		Rovaniemi	30
		Tampere	120
		Turku	70
		Vaasa	50
		Bergen	175
		Bodø	40
		Dombås	110
		Kirkenes	200
		Kristiansand	50
		Lillehammer	110
		Myrdal	16
		Narvik	150
		Oslo	125
		Stavanger	200
		Tromsø	180
		Trondheim	140
		Åndalsnes	150
		Falun	70
		Gällivare	100
		Gävle	90
		Göteborg	90
		Helsingborg	100
		Jönköping	110
		Kalmar	90
		Karlskrona	75
		Karlstad	85
		Kiruna	80
		Kvillsfors	100
		Linköping	80
		Luleå	95
		Malmö	95
		Mora	50
		Stockholm	190
		Strömstad	120
		Sundsvall	120
		Torsby	40
		Umeå	75
		Uppsala	60
		Visby	90
		Örebro	130
		Östersund	50
t=4
	GUI Player
		0
		0
		Vaasa
		Vaasa
	Greedy Player
		54
		1
		Myrdal
		Bergen
	Random Player
		0
		1
		Kirkenes
		Tromsø
	Smart Player
		49
		2
		Umeå
		Sundsvall
	cities
		Aalborg	80
		Aarhus	250
		Copenhagen	100
		Esbjerg	125
		Herning	65
		Nykøbing	50
		Odense	70
		Struer	100
		Helsinki	210
		Kermi	40
		Kokkola	85
		Kuopio	50
		Oulu	70
		Pohjanmaa	100
		Pori	30
		Rovaniemi	30
		Tampere	120
		Turku	70
		Vaasa	50
		Bergen	175
		Bodø	40
		Dombås	110
		Kirkenes	200
		Kristiansand	50
		Lillehammer	110
		Myrdal	16
		Narvik	150
		Oslo	125
		Stavanger	200
		Tromsø	180
		Trondheim	140
		Åndalsnes	150
